,,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC
IN1K → Dataset 3,Moscatel Galego Roxo,0.6842105263157895,0.9875404933964615,0.20634920634920634,0.99848828420257,0.012459506603538499,0.3157894736842105,0.7936507936507936,0.9861111111111112
IN1K → Dataset 3,Mourisco Tinto,0.7931034482758621,0.9980014988758431,0.7419354838709677,0.9985003749062734,0.0019985011241568824,0.20689655172413793,0.25806451612903225,0.9965277777777778
IN1K → Dataset 3,Pinot Blanc,0.631578947368421,0.9985048592075754,0.6666666666666666,0.9982561036372696,0.00149514079242462,0.3684210526315789,0.3333333333333333,0.9967757936507936
IN1K → Dataset 3,Rabigato,0.8508771929824561,0.9918325676365493,0.751937984496124,0.9956443761209326,0.00816743236345074,0.14912280701754385,0.24806201550387597,0.9878472222222222
IN1K → Dataset 3,Rufete,0.7368421052631579,0.9990032394717169,0.7777777777777778,0.9987543597409069,0.00099676052828308,0.2631578947368421,0.2222222222222222,0.9977678571428571
IN1K → Dataset 3,Samarrinho,0.631578947368421,0.9921638018200202,0.6075949367088608,0.9929167720718441,0.007836198179979777,0.3684210526315789,0.3924050632911392,0.9853670634920635
IN1K → Dataset 3,Sauvignon Blanc,0.6666666666666666,0.9985052316890882,0.6666666666666666,0.9985052316890882,0.0014947683109118087,0.3333333333333333,0.3333333333333333,0.9970238095238095
IN1K → Dataset 3,Sousao,0.9361702127659575,0.9974905897114178,0.8148148148148148,0.9992458521870287,0.002509410288582183,0.06382978723404255,0.18518518518518517,0.9967757936507936
IN1K → Dataset 3,Tinta Amarela,0.8813559322033898,0.9939592247671785,0.6842105263157895,0.9982305358948432,0.006040775232821546,0.11864406779661017,0.3157894736842105,0.9923115079365079
IN1K → Dataset 3,Tinta Barroca,0.927536231884058,0.9964673227353016,0.8205128205128205,0.9987354577642893,0.0035326772646984608,0.07246376811594203,0.1794871794871795,0.9952876984126984
